airtable_id,source,title,artist,status,purchase_price,currency,location,sale_price,ownership
rec77dACtQ02zGMn5,Stock,Untitled,Jean-Michel Basquiat,sold,561000,USD,,1085000,100.0%
rec7gdjNCa3AeW9UE,Stock,Untitled / Sem Titulo,Maria Auxiliadora,sold,65000,USD,,65000,100.0%
rec7uakx4rmfmfacA,Stock,Dal Pescatore,John M Armleder,sold,30833.33,USD,,56000,33.3333%
rec7vRy86JlQOXQis,Stock,Untitled,Laura Owens,sold,59375,USD,,378000,50.0%
rec8enr3LsoufYbsH,Stock,Self portrait,Alex Israel,sold,11250,USD,,125000,50.0%
rec8vSp2Baesig9LM,Stock,"Pilon Espiritu Santo, Vanuatu",Art Afrique,in_transit,25400,EUR,14 T,,100.0%
rec8yR2n6Kl9YJJkH,Stock,Untitled (Jew),Joel Mesler,sold,29250,USD,,32500,50.0%
rec984bK25Z2hGpb1,Stock,Dad and Son,Mohamed Bourouissa,sold,36000,USD,,10600,100.0%
rec9RsnYBvTVpdBJQ,Stock,Will You Murder Me After We Watch the Sunset Together,Yuan Fang,sold,30000,USD,,51500,100.0%
rec9WkDbkrtiqpWJc,Stock,SP245,Sterling Ruby,sold,808000,USD,,700000,100.0%
rec9YCi7LxQmdGUR7,Stock,Fraught Times:For Eleven Months of the Year it's an Artwork,Philippe Parreno,sold,600000,EUR,,714000,60.0%
rec9m0wwTRR7E8CLF,Stock,Seated Jordan,Alic Brock,sold,15000,USD,,800,100.0%
rec9xfbUivF5S7nxc,Stock,O pajé curando tabaco,Jaider Esbell,sold,29633.33,USD,,49000,33.3333%
rec9zY91k2TorOmAT,Stock,Letters from Sky Island,Tali Fruchtmann,available,13500,USD,Harsch,,100.0%
recA8h4wmuwLm4UYk,Stock,Untitled,M'onma,available,9000,USD,CHI,,100.0%
recAkLkqXPVxdu8FN,Stock,"Concetto Spaziale, New York 64",Lucio Fontana,sold,825000,EUR,,1500000,25.0%
recAm7nNL0rN23bme,Stock,Woman Crying (Comic) #20,Anne Collier,sold,25200,USD,,21000,100.0%
recAsBY5CkNbD5mV4,Stock,Pareidolic Faith,Adrian Schachter,sold,9000,USD,,9000,100.0%
recBBdJ3tptpdaahA,Stock,Pupila / Pupil,Osgemeos,sold,171000,USD,,74200,100.0%
recBMtayZ3gP7HtSl,Stock,Danny De Voido,Louis Eisner,sold,85000,USD,,59455.11,100.0%
recBN6fOL4O2U29yP,Stock,Die Rings Composition 5,Marc Kokopeli,available,9900,USD,14T,,100.0%
recBQeYZz0jcie1Yq,Stock,Untitled,Anna Zemankova,available,13500,USD,CHI,,100.0%
recBTofwpH3v0IEFD,Stock,Meg with a broken arm (Meg White),Elizabeth Peyton,sold,550000,USD,,625000,50.0%
recBq1Q9JMr8iN7wM,Stock,Alien in the City (or Lean),Leelee Kimmel,sold,25000,USD,,31500,100.0%
recBzIDT7Vvr0KlQJ,Stock,Asparegus Officinals,John M Armleder,sold,30833.34,USD,,35000,33.3333%
recC3UZTuS0QJXAGt,Stock,"Light layers / go, Daddy 3",Issy Wood,participating,50000,USD,SOMA,,25.0%
recC7OJuod3JRfVcs,Stock,Outdoor No. 4,Liu Wei,sold,135000,USD,,140000,50.0%
recCEqOOHE5d090cl,Stock,Untitled,Anna Zemankova,consigned,33000,USD,Gladstone,,100.0%
recCEwKbvGLjlpzAf,Stock,Le Poids de la Mémoire #2,Elladj Lincy Deloumeaux,available,7200,EUR,Collonge,,100.0%
recCGxlXHxV7jcSdK,Stock,Luna Park,Tali Lennox,available,20625,USD,14 T,,100.0%
recCLcRo1vlQCeNL7,Stock,A lua e eu,Paulo Nimer Pjota,available,45000,USD,UOVO Delaware,,100.0%
recCWDLzp9YMhRUhS,Stock,Weigh Your Cotton,Winfred Rembert,available,122700,USD,Fair Warning,,67.16%
recCaHtN92sMCmisv,Stock,City Lights,Lucien Smith,sold,150000,USD,,200000,100.0%
recCd0GUNdcNJdHLh,Stock,Red Dogwood 1,Alex Katz,sold,650000,USD,,5200000,100.0%
recCh8ftCADiIXFIl,Stock,Good Painting (Less is More),Richard Prince,sold,175000,USD,,70000,100.0%
recCtu6R8VewiM2Dy,Stock,Untitled,Anna Zemankova,available,13500,USD,CHI,,100.0%
recCxmLDXcahMkI2n,Stock,Kar Interior Kenny,Issy Wood,sold,93500,USD,,172800,100.0%
recCzmoikNTLrpqbS,Stock,Roxanne,John Kacere,sold,70000,USD,,137788,50.0%
recD9RIrOkeZniQJd,Stock,Untitled,Steven Parrino,sold,21250,USD,,113637.5,100.0%
recDAoMfcoMX1NoAB,Stock,Wipeout #2,Todd Bienvenu,available,9000,USD,14T,,100.0%
recDFZ53oFtBBX9Gm,Stock,Telling it over,Richard Prince,sold,720000,USD,,1200000,30.0%
recDGmM2bQL8zxlMS,Stock,Photoshoot (Magenta),Lisa Yuskavage,sold,120000,USD,,280000,100.0%
recDIxLARgpeh7Q72,Stock,High Awakening,Ted Pim,sold,14850,USD,,18590,100.0%
recDRUWlqnzJVxFRl,Stock,Untitled,Anna Zemankova,consigned,12250,GBP,Fair Warning,,50.0%
recDSr7RfsjeIh7Ma,Stock,Untitled,Anna Zemankova,sold,13200,USD,,21600,50.0%
recDTr09hSGRdF6We,Stock,Murakami Flower 6758 Water Surface and Skull Face,Takashi Murakami,sold,90000,USD,,63000,100.0%
recDXTky8n96oq0a1,Stock,Untitled,Jean-Michel Basquiat,sold,700000,USD,,825000,33.3333%
recDaDZi1KGjRQYtG,Stock,Personnel Airlock,Isaac Soh Fujita Howell,in_transit,4000,USD,où,,100.0%
recDmrYq7pPjHUFTq,Stock,Echo 03,Yuan Fang,participating,5750,USD,Chalk,,50.0%
recDrgYGcyO1U5r2n,Stock,Touching Toes,Joan Semmel,consigned,135000,USD,Harsch,,100.0%
recDyYyZvAdlkLaUX,Stock,The Lady Eve,Lucien Smith,sold,43000,USD,,60000,100.0%
recE2uvchsW1oCdff,Stock,La Cecità dell'Atleta I,Leonardo Meoni,available,9000,USD,Harsch,,100.0%
recE4jYRZygLs2W8n,Stock,Sculpture on pedestal 5,Piero Golia,sold,18000,USD,,1700,100.0%
recE5Rbk2rQHJHH8c,Stock,In all my fear or glory,Rebecca Ackroyd,sold,12000,USD,,7950,100.0%
recE780LbIUcOTZSg,Stock,Três Mistérios,Jaider Esbell,available,80000,USD,14T,,100.0%
recE8UDxCQVGHZnpt,Stock,Edward Fur-Long bench from the Beast series,The Haas Brothers,sold,40000,USD,,60000,100.0%
recEDT3Az2W6ihQVO,Stock,"Lady, Cow and Rabbit",Mickey Lee,available,12000,USD,UOVO Delaware,,100.0%
recEkAwzb8SFb4jt1,Stock,Frozen Waves 04,Yuan Fang,participating,5750,USD,Chalk,,50.0%
recElXeqqILrdW0zo,Stock,Flower Girl,Serge Attukwei Clottey,sold,85000,USD,,80000,100.0%
recEmArWTZ2zTF6W5,Stock,La Casa de Asterion,Hao Liang,participating,166666,USD,Alain Benatar,,33.3333%
recF1TNWzylo6dpFa,Stock,Kachina,Miyoko Ito,available,560700,USD,14T,,100.0%
recF940VWvGfUBErj,Stock,Untitled (Colored Butterfly White Sides 691),Mark Grotjahn,sold,179166.5,USD,,208333.34,16.6667%
recFT2grLjg2lBDk6,Stock,Peg Leg,Justin Adian,sold,12000,USD,,4830,100.0%
recFhQ7GjoQFyjdMm,Stock,Thai XII,Robert Rauschenberg,available,108000,USD,14T,,100.0%
recFv2y8vrjlNl2HO,Stock,Max,Elizabeth Peyton,sold,900000,USD,,1900000,100.0%
recFxvq2BsimPYGJp,Stock,Traces,José Parlà,sold,76500,USD,,136500,100.0%
recFzoHvsNtjAxIpI,Stock,Répartition aléatoire de 40'000 carrés,François Morellet,sold,337500,EUR,,379000,100.0%
recG7PuE0JA8o1s4N,Stock,Amenities! Python! The Artillery of Heaven!,Issy Wood,sold,50000,USD,,175000,100.0%
recGAK7hCdBb1m5VR,Stock,Contra,Jeronimo Rüedi,available,21600,USD,14 T,,100.0%
recGN0ZuRmXILO1cs,Stock,Melt Down : After Klein (orange),Sherrie Levine,sold,275000,USD,,150000,100.0%
recGXl954MU31yU4t,Stock,Marisa,John Kacere,sold,86666,USD,,199000,33.3333%
recGb98wHfch2NNge,Stock,Untitled,Lucas Arruda,available,200000,USD,Crozier Delaware,,50.0%
recGeSPH4Xswy5roy,Stock,Patrons Saints of anomalous persons (green),Justin Caguiat,sold,485000,USD,,,100.0%
recGkoWejfuurQG8u,Stock,B-347 Biomechanical Landscape,HR Giger,participating,112500,CHF,Lohengrin,,50.0%
recH59WjwJbpmCgKA,Stock,Brigite Bardot,Andy Warhol,sold,1050000,USD,,1492525,11.35%
recHXUXGYhPBbvwNn,Stock,Mountain Road,Xiao Jiang,sold,36000,USD,,20400,100.0%
recHXkzIEbtWCoNFJ,Stock,"Untitled (Topanga days, 5)",Sam Falls,sold,16000,USD,Harsch,7000,100.0%
recHbdYqfaJOEWYxV,Stock,Untitled 4,Ernst Yohji Jaeger,sold,48000,EUR,,29400,100.0%
recHgCmmFzXikAwxw,Stock,Closer 006,Sang Woo Kim,available,15000,EUR,14T,,100.0%
recHkC5ftKi73eFl3,Stock,Sea Changes,Miyoko Ito,sold,120000,USD,,,100.0%
recHy9PzcD5Y2pqGX,Stock,Untitled,Lynne Drexler,sold,310600,USD,,,23.53%
recI7BdroMq2tk54O,Stock,"Mädchen im Sessel (Lila), 1965-1966",Gerhard Richter,sold,2000000,USD,,2608696,33.3333%
recIAbGd8pZPJc0lx,Stock,"Rupture, 2019-2020",Victor Man,sold,117000,EUR,,550000,100.0%
recIIZ1gOy83zitOh,Stock,"Sin City Sag, Fuckhead bubble-gum",Steven Parrino,sold,260000,USD,,162000,33.3333%
recIJNKYZ0bao4QkZ,Stock,Untitled,Jaider Esbell,sold,110000,USD,,150000,100.0%
recIUmJm78yXY27AC,Stock,Kathy,John Kacere,participating,150000,USD,Gratin,,50.0%
recIpwmhu57sFBY6L,Stock,"Veil of Hidden Meaning, 2017-18",Damien Hirst,sold,562500,USD,,630000,50.0%
recJ8FcYk9d7IkrKA,Stock,After Courbet: 1-18,Sherrie Levine,sold,55000,USD,,15000,100.0%
recJAqnh3QbNpR958,Stock,Portrait of Apollo,Vojtech Kovarik,sold,45000,USD,,52500,50.0%
recJB7mqIUzfNlIU4,Stock,Untitled (Brain Void),Matt Di Giacomo,available,35000,USD,UOVO Delaware,,100.0%
recJZ3kXNf8Y7cs2l,Stock,Laura II,John Kacere,participating,82500,USD,Gratin,,50.0%
recJelwXNfmvuf8ZI,Stock,Don't look at me,Alic Brock,sold,25000,USD,,424,100.0%
recJgKe0fBsc22Ev0,Stock,Um amalgama. Cavaleiro monge - ascendencia (an amalgam. Horseman monk - ancestry),Antonio Oba,consigned,160000,USD,MWDM,450000,66.6667%
recK3z1ihsDILmkrp,Stock,Sky Backdrop,Alex Israel,sold,11000,USD,,70000,10.0%
recKd2i0omGLc5RYO,Stock,As if forgotten for centuries,Sanam Khatibi,sold,17000,EUR,,20000,100.0%
recKdr3SU885lwtYl,Stock,Flowers in Vase in Blue Room,Ksenia Dermenzhi,sold,7040,GBP,,3675,100.0%
recKf3ULTbIoGdDOF,Stock,The Moon 20190618,Wang Yuyang,sold,55000,EUR,,,100.0%
recKziFXWYGU3PAQr,Stock,Unititled (cowboy),Richard Prince,sold,950000,USD,,1715000,100.0%
recKzntLMiynuRWaL,Stock,Yellow Horn,Derek Fordjour,sold,625000,USD,,243200,100.0%
recLUrwn5bfuoyp18,Stock,Patricia,John Kacere,participating,142500,USD,Gratin,,50.0%
recLWKxGqJ1efovcv,Stock,Untitled,Chico da Silva (Francisco Domingos da Silva),participating,6000,USD,AMW,,50.0%
recLZoAzS6MKGaBTa,Stock,Edie,John Kacere,participating,125000,USD,Gratin,,50.0%
recLecjzFXMj27mlo,Stock,Untitled,Israel Lund,sold,120000,USD,,6000,100.0%
recLfioAgYWp8P3sQ,Stock,Desdobramentos sobre sankofa,Antonio Oba,sold,260000,USD,,309663.37,100.0%
recLvOQA7mjgtjITa,Stock,Landschaft XXX,HR Giger,participating,74700,USD,Lohengrin,,50.0%
recLwLW5ivaJYmhuH,Stock,Untitled,Anna Zemankova,available,80000,EUR,Collonge Annexe,,100.0%
recLxPbaZHxSyZ7J4,Stock,The Asp in Clasp,Issy Wood,sold,102500,USD,,530000,50.0%
recLyEJG3ycDEhlrD,Stock,1998.10,Fang Lijun,available,478334,USD,Harsch,,100.0%
recM0MIN1AiAwBhm5,Stock,No Draft,Li Ran,consigned,31500,USD,UOVO,,100.0%
recM70SGoNafAfOpy,Stock,Untitled,Marina Perez Simao,available,135000,USD,Harsch,,100.0%
recM7nxSqZtT6N807,Stock,"Untitled (Penis Print), ca 1969-1973",David Hammons,available,335000,USD,CHI,,100.0%
recMCuaUBbA0KW4xT,Stock,"Masque Kwélé, Gabon",Art Afrique,sold,693000,EUR,,693000,100.0%
recMDMZ6L62wQCe2A,Stock,Sem Titulo (Untitled),Jaider Esbell,sold,110000,USD,Fair Warning,147000,100.0%
recMME80029vMQA8v,Stock,La chambre d'écoute,René Magritte,sold,1000000,EUR,,1264706,5.88%
recMOjaYfpIZIj8ZX,Stock,Untitled (White Butterfly),Mark Grotjahn,sold,783500,USD,,816666.67,16.6667%
recMP7VJDytedv4r3,Stock,The Moon 20190512,Wang Yuyang,consigned,50000,EUR,Christie's NY,,100.0%
recMbHhqPJY3Xiucy,Stock,Barbara,John Kacere,participating,90000,USD,Gratin,,50.0%
recMoAtCIgiNUogGY,Stock,Marcia D,John Kacere,participating,22000,USD,Gratin,,20.0%
recMrvaejrkKtFUFN,Stock,Psyduck,Anthony Coleman,sold,450,USD,,490,100.0%
recMtymzNM56181Fe,Stock,Untitled,Anna Zemankova,available,2720,USD,CHI,,50.0%
recMumjcuy6DAZdvK,Stock,Untitled,Anna Zemankova,consigned,11000,USD,CHI,,50.0%
recN6DPDdHCEwSlLj,Stock,Ne plus ultra / My lonely Particle,Isaac Soh Fujita Howell,in_transit,26500,USD,où,,100.0%
recNH5vMCjLO3eYob,Stock,Untitled,Lucas Arruda,participating,115000,USD,Matt Knauer,,20.0%
recNJCHngSegO3b42,Stock,Player No. 83,Derek Fordjour,sold,255000,USD,,73500,100.0%
recNKpO4cfzn33xQT,Stock,In the Studio,Xiao Jiang,available,45000,USD,CHI,,100.0%
recNNfbx5pcGYkFjA,Stock,"Kolbe with Tallit, Ed. 2/5",Benyamin Reich,available,3700,CHF,où,,100.0%
recNNwtUUC4ojCEVL,Stock,Untitled,Anna Zemankova,available,18000,USD,Collonge,,50.0%
recNQkUZ0UOZuyTbi,Stock,Untitled,Agnes Martin,sold,250000,USD,,808333,100.0%
recNXJay9pFi2MvAQ,Stock,Figure With Knife,Michael Hilsman,available,19000,USD,14T,,100.0%
recNds2Bw0tNpOonG,Stock,Sometimes I Feel Like a Motherless Child,Charles White,sold,550000,USD,,800000,100.0%
recNgj8L1ITj9j7eW,Stock,Untitled,Lucas Arruda,sold,225000,USD,,346606.53,90.0%
